#Planets in order Mercury, Venus, EM bary, Mars, Jupiter, Saturn, Uranus, Neputune, Pluto
#a_1992	#e_1992	#i_1992	#L_1992	#omega_1992	#Omega_1992
0.38709893	0.20563069	7.00487	252.25084	77.45645	48.33167
0.72333199	0.00677323	3.39471	181.97973	131.53298	76.68069
1.00000011	0.01671022	0.00005	100.46435	102.94719	-11.26064
1.52366231	0.09341233	1.85061	355.45332	336.04084	49.57854
5.20336301	0.04839266	1.30530	34.40438	14.75385	100.55615
9.53707032	0.05415060	2.48446	49.94432	92.43194	113.71504
19.19126393	0.04716771	0.76986	313.23218	170.96424	74.22988
30.06896348	0.00858587	1.76917	304.88003	44.97135	131.72169
